Grapheme	IPA
+	+
.	NULL
+h	h
+s	+ s
+sw	+ s w
+ɕ	ɕ
+ɕw	ɕ w
+ʂ	ʂ
+ʑ	ʑ
+ʑw	ʑ w
2	²
<	NULL
a	a
b	b
bw	b w
d	d
dw	d w
d͡ʐ	ɖʐ
e	e
f	f
g	g
ɲ	ɲ
ɥ	ɥ
gw	g w
h	h
i	i
ii	i ⁰ + i
j	j
jw	j w
j̩	j̩
k	k
kw	k w
kʰ	kʰ
kʰ.ŋ	ŋ/kʰ
kʰw	kʰ w
kʰʷ	kʰ w
kʷ	k w
l	l
lw	l w
l̩	l̩
m	m
mw	m w
m̩	m̩
n	n
nw	n w
n̩	n̩
o	o
p	p
pw	p w
pʰ	pʰ
p͡f	pf
p͡fʰ	pfʰ
r	r
s	s
sw	s w
t	t
ts	ts
ts̃ʌ	ts ʌ̃
tw	t w
tʰ	tʰ
tʰ.l	l/tʰ
tʰ.n	n/tʰ
tʰw	tʰ w
t̃	t
t̆͡ʂʅkar	ʈʂ ʅ ⁰ + k a r
¹²⁴⁻²¹	²¹/²¹⁴ +
¹⁻²	²/¹ +
¹²⁴⁻²¹$	²¹/²¹⁴
¹⁻²$	²/¹
t͡ɕ	tɕ
t͡ʂ	ʈʂ
t͡ʂʰ	ʈʂʰ
u	u
uː	uː
v	v
v̩	v̩
w	w
x	x
xw	x w
y	y
z	z
²	² +
²*	²/ +
²²	²² +
²²⁻	²² +
²²⁻²²	²²/²² +
²²⁻²¹	²¹/²² +
²²⁻³⁵	³⁵/²² +
²²⁻¹¹	¹¹/²² +
²²⁻⁴²	⁴²/²² +
²²⁻⁵⁵	⁵⁵/²² +
²³	²³ +
²³⁻²²	²²/²³ +
²³⁻²³⁵	²³⁵/²³ +
²³⁻²¹	²¹/²³ +
²³⁻³⁵	³⁵/²³ +
²³⁻⁴⁴	⁴⁴/²³ +
²¹	²¹ +
²¹²	²¹² +
²¹²⁻²¹	²¹/²¹² +
²¹²⁻¹²	¹²/²¹² +
²¹²⁻¹¹	¹¹/²¹² +
²¹²⁻⁴⁴	⁴⁴/²¹² +
²¹²⁻⁵³	⁵³/²¹² +
²¹³	²¹³ +
²¹³⁻	²¹³ +
²¹³⁻²	²/²¹³ +
²¹³⁻²²	²²/²¹³ +
²¹³⁻²³	²³/²¹³ +
²¹³⁻²¹	²¹/²¹³ +
²¹³⁻²¹⁵	²¹⁵/²¹³ +
²¹³⁻²⁴	²⁴/²¹³ +
²¹³⁻³³	³³/²¹³ +
²¹³⁻³¹	³¹/²¹³ +
²¹³⁻³⁵	³⁵/²¹³ +
²¹³⁻¹³	¹³/²¹³ +
²¹³⁻⁴²	⁴²/²¹³ +
²¹³⁻⁴⁴	⁴⁴/²¹³ +
²¹³⁻⁵³	⁵³/²¹³ +
²¹³⁻⁵⁵	⁵⁵/²¹³ +
²¹⁴	²¹⁴ +
²¹⁴⁻²¹	²¹/²¹⁴ +
²¹⁴⁻³⁵	³⁵/²¹⁴ +
²¹⁻²³	²³/²¹ +
²¹⁻²⁴	²⁴/²¹ +
²¹⁻³⁵	³⁵/²¹ +
²¹⁻¹³	¹³/²¹ +
²¹⁻⁵³	⁵³/²¹ +
²¹⁻⁵⁴⁴	⁵⁴⁴/²¹ +
²¹⁻⁵⁵	⁵⁵/²¹ +
²⁴	²⁴ +
²⁴²	²⁴² +
²⁴²⁻²¹	²¹/²⁴² +
²⁴²⁻³²	³²/²⁴² +
²⁴²⁻⁴⁴	⁴⁴/²⁴² +
²⁴²⁻⁵³	⁵³/²⁴² +
²⁴⁻	²⁴ +
²⁴⁻²²	²²/²⁴ +
²⁴⁻²¹	²¹/²⁴ +
²⁴⁻³³	³³/²⁴ +
²⁴⁻³⁵	³⁵/²⁴ +
²⁴⁻¹¹	¹¹/²⁴ +
²⁴⁻⁴²	⁴²/²⁴ +
²⁴⁻⁴⁴	⁴⁴/²⁴ +
²⁴⁻⁵	⁵/²⁴ +
²⁴⁻⁵³	⁵³/²⁴ +
²⁴⁻⁵⁵	⁵⁵/²⁴ +
²⁵	²⁵ +
²⁻³⁵	³⁵/² +
²⁻⁴⁵	⁴⁵/² +
²⁻⁵	⁵/² +
²⁻⁵⁴	⁵⁴/² +
³	³ +
t̆͡ʂʅ⁰	ʈʂ ʅ ⁰ +
³*	³/ +
³²	³² +
^ʨʰiʐʅ⁰²⁴⁻²¹	tɕ i ⁰ + ʐ ʅ ²¹/²⁴ +
³²¹	³²¹ +
^a²¹ɔ³²¹$	a ²¹ + ɔ ³/²¹
³²¹$	³²¹
³²⁴	³²⁴ +
³²⁴⁻³²	³²/³²⁴ +
³²⁴⁻³⁵	³⁵/³²⁴ +
³²⁻²¹	²¹/³² +
³²⁻³⁵	³⁵/³² +
³²⁻⁴⁴	⁴⁴/³² +
³²⁻⁵	⁵/³² +
³²⁻⁵³	⁵³/³² +
³³	³³ +
³³⁻	³³ +
³³⁻²²	²²/³³ +
³³⁻²¹	²¹/³³ +
³³⁻³³⁵	³³⁵/³³ +
³³⁻³¹	³¹/³³ +
³³⁻³⁵	³⁵/³³ +
³³⁻¹²	¹²/³³ +
³³⁻¹¹	¹¹/³³ +
³³⁻⁴²	⁴²/³³ +
³³⁻⁵³	⁵³/³³ +
³¹	³¹ +
³¹²	³¹² +
³¹²⁻²⁴	²⁴/³¹² +
³¹²⁻³¹	³¹/³¹² +
³¹⁻	³¹ +
³¹⁻²	²/³¹ +
³¹⁻²²	²²/³¹ +
³¹⁻²¹	²¹/³¹ +
³¹⁻³³	³³/³¹ +
³¹⁻³¹⁵	³¹⁵/³¹ +
³¹⁻³⁵	³⁵/³¹ +
³¹⁻¹²	¹²/³¹ +
³¹⁻¹³	¹³/³¹ +
³¹⁻¹¹	¹¹/³¹ +
³¹⁻⁴²	⁴²/³¹ +
³¹⁻⁴⁴	⁴⁴/³¹ +
³¹⁻⁴⁵	⁴⁵/³¹ +
³¹⁻⁵	⁵/³¹ +
³¹⁻⁵³	⁵³/³¹ +
³¹⁻⁵⁵	⁵⁵/³¹ +
³⁴⁻³³	³³/³⁴ +
³⁴⁻⁴⁴	⁴⁴/³⁴ +
³⁵	³⁵ +
³⁵⁻²	²/³⁵ +
³⁵⁻²²	²²/³⁵ +
³⁵⁻²³	²³/³⁵ +
³⁵⁻²¹	²¹/³⁵ +
³⁵⁻³³	³³/³⁵ +
³⁵⁻³¹	³¹/³⁵ +
³⁵⁻¹³	¹³/³⁵ +
³⁵⁻⁴²	⁴²/³⁵ +
³⁵⁻⁴⁴	⁴⁴/³⁵ +
³⁵⁻⁴⁵	⁴⁵/³⁵ +
³⁵⁻⁵³	⁵³/³⁵ +
³⁵⁻⁵⁵	⁵⁵/³⁵ +
³⁻²	²/³ +
³⁻²¹	²¹/³ +
³⁻³³	³³/³ +
³⁻⁴⁴	⁴⁴/³ +
¹	¹ +
¹*	¹/ +
¹²	¹² +
¹²⁻⁵⁵	⁵⁵/¹² +
¹³	¹³ +
¹³⁻	¹³ +
¹³⁻²²	²²/¹³ +
¹³⁻²³	²³/¹³ +
¹³⁻²¹	²¹/¹³ +
¹³⁻³³	³³/¹³ +
¹³⁻³¹	³¹/¹³ +
¹³⁻³⁵	³⁵/¹³ +
¹³⁻¹³	¹³/¹³ +
¹³⁻¹¹	¹¹/¹³ +
¹³⁻¹⁴	¹⁴/¹³ +
¹³⁻⁴⁴	⁴⁴/¹³ +
¹³⁻⁴⁵	⁴⁵/¹³ +
¹³⁻⁵	⁵/¹³ +
¹³⁻⁵³	⁵³/¹³ +
¹³⁻⁵⁵	⁵⁵/¹³ +
¹¹	¹¹ +
¹¹⁻²²	²²/¹¹ +
¹¹⁻²¹	²¹/¹¹ +
¹¹⁻⁴⁵	⁴⁵/¹¹ +
¹¹⁻⁵	⁵/¹¹ +
¹¹⁻⁵³	⁵³/¹¹ +
¹⁻²³	²³/¹ +
¹⁻²¹	²¹/¹ +
¹⁻¹	¹/¹ +
¹⁻¹¹	¹¹/¹ +
¹⁻⁴	⁴/¹ +
ã	ã
æ	æ
æ̃	æ̃
ï	ï
õ	õ
ø	ø
ĩ	ĩ
ŋ	ŋ
ŋs	ŋ s
ŋw	ŋ w
ŋŋ	ŋ ⁰ + ŋ
⁰	⁰ +
⁰$	⁰
ŋ̍	ŋ̍
ŋ̩	ŋ̩
œ	œ
ũ	ũ
ȵ	ɲ
ɐ	ɐ
ɑ	ɑ
ɑ̃	ɑ̃
ɒ	ɒ
ɒ̃	ɒ̃
ɔ	ɔ
ɔ̃	ɔ̃
ɕ	ɕ
ɕw	ɕ w
ɖ	ɖ
ɖw	ɖ w
ə	ə
ə̃	ə̃
ɚ	ɚ
ɛ	ɛ
ɛ̃	ɛ̃
ɜ	ɜ
ɣ	ɣ
ɣw	ɣ w
ɤ	ɤ
ɤ̃	ɤ̃
ɦ	ɦ
ɨ	ɨ
ɪ	ɪ
ɪ̃	ɪ̃
ɬ	ɬ
ɭ	ɭ
ɯ	ɯ
ɳ	ɳ
ɵ	ɵ
ɸ	ɸ
ɿ	ɿ
ʂ	ʂ
ʃ	ʃ
ʅ	ʅ
ʈ	ʈ
ʈw	ʈ w
ʈʰ	ʈʰ
ʊ	ʊ
ʊ̃	ʊ̃
ʌ	ʌ
ʌ̃	ʌ̃
ʏ	ʏ
ʐ	ʐ
ʑ	ʑ
ʑw	ʑ w
ʒ	ʒ
ʔ	ʔ
ʔw	ʔ w
ʔɕ	ʔ ⁰ ɕ
ʣ	dz
ʣw	dz w
ʥ	dʑ
ʥw	dʑ w
ʦ	ts
ʦuoŋ³²⁻²¹.ŋyɔŋ²⁴²	ts u o ŋ ²¹/³² + ŋ y ɔ ŋ ²⁴²
ʦw	ts w
ʦʰ	tsʰ
ʦʰ.j	j/ʦʰ
ʦʰ.ʒ	ʒ/tsʰ
ʦʰw	tsʰ w
ʦʰʒ	tsʰ ʒ
ʧ	tʃ
ʧʰ	tʃʰ
ʨ	tɕ
ʨw	tɕ w
ʨʰ	tɕʰ
ʨʰw	tɕʰ w
ʮ	ʮ
β	β
ᴀ	ᴀ/a̱
ᴀ̃	ᴀ̃/ã̱
ᴇ	ᴇ/e̞
ᴇ̃	ᴇ̃/ẽ̞
ẽ	ẽ
